date,salinity,precip_in
2024-09-12,18.813541666666666,0.0
2024-09-13,19.45,0.0
2024-09-14,19.77263157894737,0.0
2024-09-15,21.15625,0.0
2024-09-16,22.34583333333333,0.0
2024-09-17,22.514583333333334,0.0
2024-09-18,23.0,0.0
2024-09-19,23.336458333333336,0.0
2024-09-20,23.79375,0.0
2024-09-21,24.077083333333334,0.0
2024-09-22,23.917708333333334,0.0
2024-09-23,23.758064516129032,0.04
2024-09-24,22.66875,0.0
2024-09-25,22.218478260869563,0.0
2024-09-26,21.621875,0.08
2024-09-27,21.045263157894738,0.18
2024-09-28,21.465625,0.26
2024-09-29,21.695744680851064,0.78
2024-09-30,21.03510638297872,0.0
2024-10-01,21.735416666666666,0.0
2024-10-02,22.418085106382982,0.0
2024-10-03,22.119791666666668,0.0
2024-10-04,21.670526315789473,0.0
2024-10-05,21.537894736842105,0.0
2024-10-06,21.436458333333334,0.0
2024-10-07,22.63684210526316,0.0
2024-10-08,21.33157894736842,0.0
2024-10-09,21.040625000000002,0.0
2024-10-10,19.847368421052632,0.0
2024-10-11,20.318947368421053,0.0
2024-10-12,20.414583333333333,0.0
2024-10-13,21.629787234042553,0.0
2024-10-14,22.772340425531915,0.0
2024-10-15,22.473958333333332,0.0
2024-10-16,22.416842105263157,0.0
2024-10-17,22.840425531914892,0.0
2024-10-18,24.454255319148935,0.0
2024-10-19,21.6,0.0
2024-10-20,23.772916666666664,0.0
2024-10-21,23.13684210526316,0.0
2024-10-22,22.92395833333333,0.0
2024-10-23,22.983516483516482,0.0
2024-10-24,22.167708333333334,0.0
2024-10-25,21.496875,0.0
2024-10-26,21.519791666666666,0.0
2024-10-27,20.718947368421052,0.0
2024-10-28,22.019791666666666,0.0
2024-10-29,22.919148936170213,0.01
2024-10-30,23.340625,0.0
2024-10-31,22.95520833333333,0.0
2024-11-01,22.91304347826087,0.0
2024-11-02,21.985416666666666,0.0
2024-11-03,23.02,0.0
2024-11-04,23.319791666666664,0.0
2024-11-05,23.195833333333336,0.0
2024-11-06,22.542105263157893,0.0
2024-11-07,21.934375,0.0
2024-11-08,22.803124999999998,0.0
2024-11-09,20.492708333333333,0.0
2024-11-10,23.386170212765958,0.08
2024-11-11,24.188541666666666,0.1
2024-11-12,23.31578947368421,0.0
2024-11-13,23.94,0.0
2024-11-14,25.628421052631577,0.0
2024-11-15,25.627472527472527,0.0
2024-11-16,25.210638297872343,0.0
2024-11-17,24.86105263157895,0.0
2024-11-18,25.249473684210525,0.0
2024-11-19,22.1,0.0
2024-11-20,24.677083333333332,0.0
2024-11-21,25.61304347826087,1.57
2024-11-22,23.354166666666668,0.53
2024-11-23,22.104166666666668,0.02
2024-11-24,17.877083333333335,0.0
2024-11-25,19.14,0.0
2024-11-26,22.51578947368421,0.19
2024-11-27,21.774736842105263,0.0
2024-11-28,22.596842105263157,0.86
2024-11-29,19.731578947368423,0.0
2024-11-30,21.712500000000002,0.0
2024-12-01,21.378125,0.0
2024-12-02,21.22736842105263,0.0
2024-12-03,21.84375,0.0
2024-12-04,21.557291666666668,0.01
